#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4
     249    0.012    0.530    0.458    0.000    0.000
     250    0.012    0.532    0.456    0.000    0.000
     251    0.012    0.534    0.454    0.000    0.000
     252    0.012    0.536    0.452    0.000    0.000
     253    0.012    0.538    0.451    0.000    0.000
     254    0.012    0.539    0.449    0.000    0.000
     255    0.012    0.541    0.447    0.000    0.000
     256    0.012    0.543    0.445    0.000    0.000
     257    0.012    0.545    0.444    0.000    0.000
     258    0.012    0.547    0.442    0.000    0.000
     259    0.012    0.548    0.440    0.000    0.000
     260    0.012    0.550    0.438    0.000    0.000
     261    0.011    0.552    0.437    0.000    0.000
     262    0.011    0.553    0.435    0.000    0.000
     263    0.011    0.555    0.433    0.000    0.000
     264    0.011    0.557    0.432    0.000    0.000
     265    0.011    0.558    0.430    0.000    0.000
     266    0.011    0.560    0.429    0.000    0.000
     267    0.011    0.562    0.427    0.000    0.000
     268    0.011    0.563    0.425    0.000    0.000
     269    0.011    0.565    0.424    0.000    0.000
     270    0.011    0.567    0.422    0.000    0.000
     271    0.011    0.568    0.421    0.000    0.000
     272    0.011    0.570    0.419    0.000    0.000
     273    0.011    0.571    0.418    0.000    0.000
     274    0.011    0.573    0.416    0.000    0.000
     275    0.011    0.575    0.415    0.000    0.000
     276    0.011    0.576    0.413    0.000    0.000
     277    0.011    0.578    0.412    0.000    0.000
     278    0.011    0.579    0.410    0.000    0.000
     279    0.011    0.581    0.409    0.000    0.000
     280    0.011    0.582    0.407    0.000    0.000
     281    0.011    0.584    0.406    0.000    0.000
     282    0.011    0.585    0.404    0.000    0.000
     283    0.011    0.587    0.403    0.000    0.000
     284    0.011    0.588    0.401    0.000    0.000
     285    0.011    0.589    0.400    0.000    0.000
     286    0.010    0.591    0.399    0.000    0.000
     287    0.010    0.592    0.397    0.000    0.000
     288    0.010    0.594    0.396    0.000    0.000
     289    0.010    0.595    0.394    0.000    0.000
     290    0.010    0.597    0.393    0.000    0.000
     291    0.010    0.598    0.392    0.000    0.000
     292    0.010    0.599    0.390    0.000    0.000
     293    0.010    0.601    0.389    0.000    0.000
     294    0.010    0.602    0.388    0.000    0.000
     295    0.010    0.603    0.386    0.000    0.000
     296    0.010    0.605    0.385    0.000    0.000
     297    0.010    0.606    0.384    0.000    0.000
     298    0.010    0.607    0.383    0.000    0.000
     299    0.010    0.609    0.381    0.000    0.000
     300    0.010    0.610    0.380    0.000    0.000
     301    0.010    0.611    0.379    0.000    0.000
     302    0.010    0.613    0.377    0.000    0.000
     303    0.010    0.614    0.376    0.000    0.000
     304    0.010    0.615    0.375    0.000    0.000
     305    0.010    0.616    0.374    0.000    0.000
     306    0.010    0.618    0.373    0.000    0.000
     307    0.010    0.619    0.371    0.000    0.000
     308    0.010    0.620    0.370    0.000    0.000
     309    0.010    0.621    0.369    0.000    0.000
     310    0.010    0.623    0.368    0.000    0.000
     311    0.010    0.624    0.367    0.000    0.000
     312    0.010    0.625    0.365    0.000    0.000
     313    0.010    0.626    0.364    0.000    0.000
     314    0.010    0.627    0.363    0.000    0.000
     315    0.010    0.629    0.362    0.000    0.000
     316    0.009    0.630    0.361    0.000    0.000
     317    0.009    0.631    0.360    0.000    0.000
     318    0.009    0.632    0.358    0.000    0.000
     319    0.009    0.633    0.357    0.000    0.000
     320    0.009    0.634    0.356    0.000    0.000
     321    0.009    0.636    0.355    0.000    0.000
     322    0.009    0.637    0.354    0.000    0.000
     323    0.009    0.638    0.353    0.000    0.000
     324    0.009    0.639    0.352    0.000    0.000
     325    0.009    0.640    0.351    0.000    0.000
     326    0.009    0.641    0.350    0.000    0.000
     327    0.009    0.642    0.349    0.000    0.000
     328    0.009    0.643    0.348    0.000    0.000
     329    0.009    0.644    0.347    0.000    0.000
     330    0.009    0.645    0.345    0.000    0.000
     331    0.009    0.647    0.344    0.000    0.000
     332    0.009    0.648    0.343    0.000    0.000
     333    0.009    0.649    0.342    0.000    0.000
     334    0.009    0.650    0.341    0.000    0.000
     335    0.009    0.651    0.340    0.000    0.000
     336    0.009    0.652    0.339    0.000    0.000
     337    0.009    0.653    0.338    0.000    0.000
     338    0.009    0.654    0.337    0.000    0.000
     339    0.009    0.655    0.336    0.000    0.000
     340    0.009    0.656    0.335    0.000    0.000
     341    0.009    0.657    0.334    0.000    0.000
     342    0.009    0.658    0.333    0.000    0.000
     343    0.009    0.659    0.332    0.000    0.000
     344    0.009    0.660    0.331    0.000    0.000
     345    0.009    0.661    0.330    0.000    0.000
     346    0.009    0.662    0.329    0.000    0.000
     347    0.009    0.663    0.329    0.000    0.000
     348    0.009    0.664    0.328    0.000    0.000
     349    0.009    0.665    0.327    0.000    0.000
     350    0.009    0.666    0.326    0.000    0.000
     351    0.009    0.667    0.325    0.000    0.000
     352    0.009    0.668    0.324    0.000    0.000
     353    0.008    0.669    0.323    0.000    0.000
     354    0.008    0.669    0.322    0.000    0.000
     355    0.008    0.670    0.321    0.000    0.000
     356    0.008    0.671    0.320    0.000    0.000
     357    0.008    0.672    0.319    0.000    0.000
     358    0.008    0.673    0.318    0.000    0.000
     359    0.008    0.674    0.318    0.000    0.000
     360    0.008    0.675    0.317    0.000    0.000
     361    0.008    0.676    0.316    0.000    0.000
     362    0.008    0.677    0.315    0.000    0.000
     363    0.008    0.678    0.314    0.000    0.000
     364    0.008    0.679    0.313    0.000    0.000
     365    0.008    0.679    0.312    0.000    0.000
     366    0.008    0.680    0.311    0.000    0.000
     367    0.008    0.681    0.311    0.000    0.000
     368    0.008    0.682    0.310    0.000    0.000
     369    0.011    0.680    0.309    0.000    0.000
     370    0.011    0.681    0.308    0.000    0.000
     371    0.013    0.679    0.307    0.000    0.000
     372    0.013    0.680    0.306    0.000    0.000
     373    0.013    0.681    0.306    0.000    0.000
     374    0.013    0.682    0.305    0.000    0.000
     375    0.013    0.683    0.304    0.000    0.000
     376    0.013    0.684    0.303    0.000    0.000
     377    0.013    0.684    0.302    0.000    0.000
     378    0.013    0.685    0.302    0.000    0.000
     379    0.013    0.686    0.301    0.000    0.000
     380    0.013    0.687    0.300    0.000    0.000
