#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     140   11.903    1.165   -6.786    2.391   -0.255    1.552   -1.393    3.034   -1.976   -1.193
     141   23.326   11.099    7.731    6.992   -3.344   -1.069    6.348    3.680   -3.745   -0.562
     142   17.126    0.188   -4.125    2.200   -1.678   -0.684    6.048    1.419    2.458    0.277
     143   17.935    5.220    0.612   -5.018   -1.149    6.861    8.613   -0.015   -0.078   -0.023
     144   15.302    5.213   -1.997   -0.272   -0.558   -0.164    5.893    3.916   -1.883   -0.240
     145   12.929    2.992   -1.684   -3.162   -3.884   -0.578    9.407   -0.038   -4.061    1.288
     146    8.726    7.036   -4.524   -5.762   -1.291    3.746    3.991   -1.448   -7.346    3.814
     147   14.636    6.179    2.891   -1.941   -1.612    0.185    0.285    0.257   -3.374    0.095
     148   14.143    1.147   -6.049   -1.923   -3.331    0.055    3.330    2.637    2.736    0.217
     149   10.547    5.253   -6.168   -5.114   -0.251    1.658    3.308    5.047    1.051    5.589
     150   10.691   -1.474   -6.800   -2.682   -4.382   -1.326    4.632    1.127   -3.796    1.337
     151   14.253   -3.907   -6.889    4.291    1.162    3.610    4.340    4.321   -5.179   -0.663
     152   16.580   -3.096   -3.185    8.056   -0.277   -3.197    6.880    5.264   -4.370   -0.423
     153   13.264    0.376   -5.165   -2.085    1.318    3.254    0.955    2.474   -0.179   -3.162
     154   15.217    3.036   -2.273   -0.580   -0.024    0.604   -1.393    3.993    0.233    0.270
     155   13.392    4.612    5.412   -2.932   -2.002    3.100   -1.384    3.657   -3.683    1.550
     156   15.296    5.519   -1.795    3.866    0.629   -1.371    1.392    2.727   -2.894    3.753
     157   17.616   -1.187   -3.500    0.133   -0.918    2.380    0.851    2.873   -3.758    1.476
     158   15.904    1.957   -2.859    4.814    0.031   -3.395    1.703    0.364   -5.064    2.641
     159   14.719    4.859   -1.891   -1.387   -1.459    3.623   -0.173    4.140   -7.959    0.150
     160   13.142    3.104   -3.118   -3.860    2.087    2.745   -1.224    4.222   -5.035   -4.030
     161    8.467   -2.249  -11.663   -3.668   -0.025    3.513    4.302   -0.676   -4.951    1.918
     162   13.494   -2.954   -7.306    0.885    2.731    0.715    2.133   -1.481   -1.450    2.334
     163   11.968   -3.684   -8.997   -0.755    3.665    3.904   -2.863   -0.721   -2.557    1.456
     164   10.834   -5.153   -9.195    3.258    3.733    0.864    6.945    4.011   -2.478    1.431
     165   11.352   -5.117   -8.624    3.598    0.534   -2.318    2.468    1.495   -2.656    1.664
     166    8.718   -4.741   -6.922   -3.633    0.391   -0.660    1.514    1.581   -5.410    5.972
     167   10.325   -2.378   -6.597   -1.835   -0.419   -0.871   -1.021   -3.390    0.054    5.741
     168   10.602   -8.075  -11.574   -3.667    3.951    8.149    1.535   -1.211   -1.834    4.727
     169   17.826    2.475    3.136    1.210    3.132    4.892   -4.045    1.493   -0.178    2.945
     170   10.124   -2.017   -6.963   -0.742    1.873    1.992    0.188   -2.210    4.539    1.547
