#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
81.0%,405000,810.0,-40541.818,7681.125,-32860.693,301.166,30.961,0.988,1.41e+03,0:11
82.0%,410000,820.0,-40871.874,7538.075,-33333.799,295.557,31.027,0.985,1.41e+03,0:11
83.0%,415000,830.0,-40708.43,7690.595,-33017.835,301.537,30.385,1.006,1.41e+03,0:10
84.0%,420000,840.0,-40712.554,7694.867,-33017.687,301.705,30.914,0.989,1.41e+03,0:09
85.0%,425000,850.0,-40680.849,7667.452,-33013.397,300.63,30.805,0.993,1.41e+03,0:09
86.0%,430000,860.0,-40546.327,7647.738,-32898.588,299.857,30.829,0.992,1.41e+03,0:08
87.0%,435000,870.0,-41183.563,7446.994,-33736.569,291.986,30.723,0.995,1.41e+03,0:07
88.0%,440000,880.0,-40800.326,7733.426,-33066.9,303.217,31.111,0.983,1.41e+03,0:07
89.0%,445000,890.0,-40303.013,7787.132,-32515.881,305.322,31.277,0.978,1.41e+03,0:06
90.0%,450000,900.0,-40827.629,7580.593,-33247.036,297.224,31.164,0.981,1.41e+03,0:06
91.0%,455000,910.0,-41106.414,7598.494,-33507.919,297.926,31.086,0.984,1.41e+03,0:05
92.0%,460000,920.0,-40940.081,7474.01,-33466.071,293.045,31.38,0.974,1.41e+03,0:04
93.0%,465000,930.0,-40815.909,7594.773,-33221.136,297.78,30.979,0.987,1.41e+03,0:04
94.0%,470000,940.0,-40633.929,7531.317,-33102.612,295.292,30.998,0.986,1.41e+03,0:03
95.0%,475000,950.0,-40457.096,7692.846,-32764.25,301.626,30.568,1.0,1.41e+03,0:03
96.0%,480000,960.0,-40782.072,7636.297,-33145.775,299.408,31.006,0.986,1.41e+03,0:02
97.0%,485000,970.0,-40560.529,7609.175,-32951.354,298.345,31.093,0.983,1.41e+03,0:01
98.0%,490000,980.0,-40526.767,7692.133,-32834.634,301.598,30.96,0.988,1.41e+03,0:01
99.0%,495000,990.0,-40551.197,7630.535,-32920.662,299.183,31.134,0.982,1.41e+03,0:00
100.0%,500000,1000.0,-40747.216,7711.12,-33036.096,302.342,30.821,0.992,1.41e+03,0:00
